"TOA5","Compass_SWH_UP_423","CR1000X","39601","CR1000X.Std.06.01","CPU:COMPASS_v3.3.CR1X","29937","SapflowA"
"TIMESTAMP","RECORD","PB","Statname","BattV_Avg","DiffVoltA_Avg(1)","DiffVoltA_Avg(2)","DiffVoltA_Avg(3)","DiffVoltA_Avg(4)","DiffVoltA_Avg(5)","DiffVoltA_Avg(6)","DiffVoltA_Avg(7)","DiffVoltA_Avg(8)","DiffVoltA_Avg(9)","DiffVoltA_Avg(10)","DiffVoltA_Avg(11)","DiffVoltA_Avg(12)"
"TS","RN","","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-03-03 00:00:00",35843,423,"COMPASS_SWH_UP",11.87,0.384,0.424,0.433,0.365,0.37,0.381,0.432,0.398,0.319,0.327,0.282,0.383
"2024-03-03 00:15:00",35844,423,"COMPASS_SWH_UP",11.87,0.384,0.424,0.433,0.366,0.37,0.381,0.432,0.398,0.319,0.327,0.282,0.383
"2024-03-03 00:30:00",35845,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.434,0.366,0.37,0.381,0.432,0.397,0.319,0.327,0.282,0.383
"2024-03-03 00:45:00",35846,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.37,0.38,0.432,0.397,0.319,0.327,0.283,0.383
"2024-03-03 01:00:00",35847,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.37,0.381,0.432,0.397,0.319,0.327,0.283,0.383
"2024-03-03 01:15:00",35848,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.37,0.381,0.432,0.397,0.319,0.328,0.283,0.383
"2024-03-03 01:30:00",35849,423,"COMPASS_SWH_UP",11.87,0.385,0.425,0.434,0.366,0.371,0.38,0.432,0.398,0.319,0.328,0.283,0.383
"2024-03-03 01:45:00",35850,423,"COMPASS_SWH_UP",11.87,0.385,0.425,0.434,0.366,0.371,0.379,0.432,0.397,0.319,0.328,0.283,0.383
"2024-03-03 02:00:00",35851,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.371,0.379,0.432,0.398,0.319,0.328,0.283,0.383
"2024-03-03 02:15:00",35852,423,"COMPASS_SWH_UP",11.87,0.385,0.425,0.433,0.366,0.371,0.379,0.432,0.398,0.319,0.329,0.283,0.383
"2024-03-03 02:30:00",35853,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.371,0.379,0.432,0.398,0.319,0.329,0.283,0.383
"2024-03-03 02:45:00",35854,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.433,0.366,0.371,0.38,0.432,0.398,0.319,0.329,0.284,0.382
"2024-03-03 03:00:00",35855,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.432,0.366,0.371,0.38,0.432,0.399,0.319,0.329,0.283,0.382
"2024-03-03 03:15:00",35856,423,"COMPASS_SWH_UP",11.87,0.384,0.425,0.432,0.366,0.371,0.38,0.432,0.4,0.319,0.33,0.283,0.382
"2024-03-03 03:30:00",35857,423,"COMPASS_SWH_UP",11.87,0.383,0.425,0.432,0.366,0.371,0.381,0.432,0.401,0.319,0.33,0.283,0.382
"2024-03-03 03:45:00",35858,423,"COMPASS_SWH_UP",11.87,0.383,0.425,0.432,0.366,0.371,0.381,0.432,0.401,0.319,0.33,0.283,0.382
"2024-03-03 04:00:00",35859,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.319,0.33,0.283,0.382
"2024-03-03 04:15:00",35860,423,"COMPASS_SWH_UP",11.87,0.384,0.426,0.433,0.367,0.37,0.38,0.433,0.401,0.319,0.33,0.283,0.382
"2024-03-03 04:30:00",35861,423,"COMPASS_SWH_UP",11.87,0.384,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.33,0.282,0.382
"2024-03-03 04:45:00",35862,423,"COMPASS_SWH_UP",11.87,0.384,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.33,0.282,0.382
"2024-03-03 05:00:00",35863,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.33,0.282,0.382
"2024-03-03 05:15:00",35864,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.33,0.282,0.382
"2024-03-03 05:30:00",35865,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.331,0.282,0.382
"2024-03-03 05:45:00",35866,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.331,0.282,0.382
"2024-03-03 06:00:00",35867,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.331,0.282,0.382
"2024-03-03 06:15:00",35868,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.401,0.318,0.331,0.282,0.382
"2024-03-03 06:30:00",35869,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.368,0.371,0.381,0.433,0.4,0.318,0.331,0.282,0.382
"2024-03-03 06:45:00",35870,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.368,0.37,0.381,0.433,0.4,0.318,0.331,0.282,0.382
"2024-03-03 07:00:00",35871,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.368,0.37,0.381,0.433,0.4,0.318,0.331,0.282,0.382
"2024-03-03 07:15:00",35872,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.368,0.371,0.381,0.433,0.4,0.318,0.331,0.282,0.382
"2024-03-03 07:30:00",35873,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.37,0.381,0.433,0.4,0.318,0.332,0.282,0.382
"2024-03-03 07:45:00",35874,423,"COMPASS_SWH_UP",11.87,0.383,0.426,0.433,0.367,0.371,0.381,0.433,0.4,0.318,0.332,0.282,0.382
"2024-03-03 08:00:00",35875,423,"COMPASS_SWH_UP",11.87,0.383,0.425,0.433,0.367,0.371,0.381,0.433,0.4,0.317,0.332,0.282,0.382
"2024-03-03 08:15:00",35876,423,"COMPASS_SWH_UP",11.87,0.383,0.425,0.432,0.367,0.37,0.38,0.432,0.399,0.317,0.333,0.282,0.382
"2024-03-03 08:30:00",35877,423,"COMPASS_SWH_UP",11.87,0.383,0.425,0.432,0.366,0.37,0.38,0.433,0.399,0.316,0.333,0.281,0.382
"2024-03-03 08:45:00",35878,423,"COMPASS_SWH_UP",11.87,0.382,0.424,0.431,0.365,0.37,0.379,0.432,0.399,0.316,0.333,0.281,0.381
"2024-03-03 09:00:00",35879,423,"COMPASS_SWH_UP",11.87,0.382,0.422,0.429,0.365,0.37,0.378,0.432,0.399,0.315,0.334,0.281,0.38
"2024-03-03 09:15:00",35880,423,"COMPASS_SWH_UP",11.87,0.381,0.421,0.428,0.364,0.369,0.377,0.432,0.398,0.315,0.334,0.281,0.38
"2024-03-03 09:30:00",35881,423,"COMPASS_SWH_UP",11.87,0.381,0.42,0.427,0.364,0.369,0.376,0.432,0.397,0.314,0.334,0.281,0.379
"2024-03-03 09:45:00",35882,423,"COMPASS_SWH_UP",11.87,0.38,0.419,0.425,0.364,0.368,0.374,0.431,0.395,0.313,0.334,0.281,0.378
"2024-03-03 10:00:00",35883,423,"COMPASS_SWH_UP",11.87,0.379,0.419,0.424,0.364,0.368,0.373,0.43,0.394,0.313,0.334,0.281,0.377
"2024-03-03 10:15:00",35884,423,"COMPASS_SWH_UP",11.87,0.378,0.418,0.422,0.363,0.367,0.372,0.429,0.392,0.313,0.334,0.281,0.376
"2024-03-03 10:30:00",35885,423,"COMPASS_SWH_UP",11.87,0.377,0.417,0.42,0.363,0.367,0.371,0.427,0.39,0.312,0.333,0.281,0.375
