# L1 data will be ordered following rows below, and these descriptions inserted into metadata
Column,Description
Site,Site code; see site info above (character)
Plot,Plot code; see site info above (character)
TIMESTAMP,Datalogger timestamp in [TIMEZONE] (POSIXct)
Instrument,Name of measurement instrument (character)
Instrument_ID,Identifier of instrument within plot (character)
Sensor_ID,"Identifier of individual sensor, tree, etc. being measured (character)"
Location,"Spatial location; for TEMPEST, grid square (character)"
Value,"Observed value (usually numeric, except for time of min/max). The no-data value is '[NA_STRING]'"
research_name,Measurement name (character)
Source_file,ID (MD5 hash) of the source datalogger file this value came from
F_OOB,"Flag: out of instrumental bounds (logical, 1=TRUE; empty if no bounds for this research_name)"
F_OOS,"Flag: sensor listed as out of service (logical, 1=TRUE; empty if no out of service data for this research_name)"
F_MAD,"Flag: possible outlier based on mean absolute deviation (MAD) from time period grouping (logical, 1=TRUE)"
